
x:0, y:0, z:14 grains: []
x:22, y:12, z:14 grains: []

x:23, y:12, z:14 grains: []

x:24, y:12, z:14 grains: []

x:25, y:12, z:14 grains: []

x:26, y:12, z:14 grains: []

x:27, y:12, z:14 grains: []

x:28, y:12, z:14 grains: []

x:29, y:12, z:14 grains: []

x:30, y:12, z:14 grains: []

x:0, y:13, z:14 grains: []

x:1, y:13, z:14 grains: []

x:2, y:13, z:14 grains: []

x:3, y:13, z:14 grains: []

x:4, y:13, z:14 grains: []

x:5, y:13, z:14 grains: []

x:6, y:13, z:14 grains: []

x:7, y:13, z:14 grains: []

x:8, y:13, z:14 grains: []

x:9, y:13, z:14 grains: []

x:10, y:13, z:14 grains: []

x:11, y:13, z:14 grains: []

x:12, y:13, z:14 grains: []

x:13, y:13, z:14 grains: []

x:14, y:13, z:14 grains: []

x:15, y:13, z:14 grains: []

x:16, y:13, z:14 grains: []

x:17, y:13, z:14 grains: []

x:18, y:13, z:14 grains: []

x:19, y:13, z:14 grains: []

x:20, y:13, z:14 grains: []

x:21, y:13, z:14 grains: []

x:22, y:13, z:14 grains: []

x:23, y:13, z:14 grains: []

x:24, y:13, z:14 grains: []

x:25, y:13, z:14 grains: []

x:26, y:13, z:14 grains: []

x:27, y:13, z:14 grains: []

x:28, y:13, z:14 grains: []

x:29, y:13, z:14 grains: []

x:30, y:13, z:14 grains: []

x:0, y:14, z:14 grains: []

x:1, y:14, z:14 grains: []

x:2, y:14, z:14 grains: []

x:3, y:14, z:14 grains: []

x:4, y:14, z:14 grains: []

x:5, y:14, z:14 grains: []

x:6, y:14, z:14 grains: []

x:7, y:14, z:14 grains: []

x:8, y:14, z:14 grains: []

x:9, y:14, z:14 grains: []

x:10, y:14, z:14 grains: []

x:11, y:14, z:14 grains: []

x:12, y:14, z:14 grains: []

x:13, y:14, z:14 grains: []

x:14, y:14, z:14 grains: [92063, 92141, 92232, 92644, 92690]
 Grain id: 92063, x: 14, y: 14, z: 14, energy: 713
 Grain id: 92141, x: 14, y: 14, z: 14, energy: 691
 Grain id: 92232, x: 14, y: 14, z: 14, energy: 686
 Grain id: 92644, x: 14, y: 14, z: 14, energy: 641
 Grain id: 92690, x: 14, y: 14, z: 14, energy: 634

x:15, y:14, z:14 grains: [99298, 99302]
 Grain id: 99298, x: 15, y: 14, z: 14, energy: 54
 Grain id: 99302, x: 15, y: 14, z: 14, energy: 54

x:16, y:14, z:14 grains: []

x:17, y:14, z:14 grains: []

x:18, y:14, z:14 grains: []

x:19, y:14, z:14 grains: []

x:20, y:14, z:14 grains: []

x:21, y:14, z:14 grains: []

x:22, y:14, z:14 grains: []

x:23, y:14, z:14 grains: []

x:24, y:14, z:14 grains: []

x:25, y:14, z:14 grains: []

x:26, y:14, z:14 grains: []

x:27, y:14, z:14 grains: []

x:28, y:14, z:14 grains: []

x:29, y:14, z:14 grains: []

x:30, y:14, z:14 grains: []

x:0, y:15, z:14 grains: []

x:1, y:15, z:14 grains: []

x:2, y:15, z:14 grains: []

x:3, y:15, z:14 grains: []

x:4, y:15, z:14 grains: []

x:5, y:15, z:14 grains: []

x:6, y:15, z:14 grains: []

x:7, y:15, z:14 grains: []

x:8, y:15, z:14 grains: []

x:9, y:15, z:14 grains: []

x:10, y:15, z:14 grains: []

x:11, y:15, z:14 grains: []

x:12, y:15, z:14 grains: []

x:13, y:15, z:14 grains: []

x:14, y:15, z:14 grains: [94872, 94875, 94892, 94911]
 Grain id: 94872, x: 14, y: 15, z: 14, energy: 604
 Grain id: 94875, x: 14, y: 15, z: 14, energy: 604
 Grain id: 94892, x: 14, y: 15, z: 14, energy: 603
 Grain id: 94911, x: 14, y: 15, z: 14, energy: 602

x:15, y:15, z:14 grains: [64987, 84047, 96481, 96482, 96485, 96486, 96487, 96489, 96492, 96493]
 Grain id: 64987, x: 15, y: 15, z: 14, energy: 8237
 Grain id: 84047, x: 15, y: 15, z: 14, energy: 4274
 Grain id: 96481, x: 15, y: 15, z: 14, energy: 1026
 Grain id: 96482, x: 15, y: 15, z: 14, energy: 1026
 Grain id: 96485, x: 15, y: 15, z: 14, energy: 1026
 Grain id: 96486, x: 15, y: 15, z: 14, energy: 1026
 Grain id: 96487, x: 15, y: 15, z: 14, energy: 1026
 Grain id: 96489, x: 15, y: 15, z: 14, energy: 1026
 Grain id: 96492, x: 15, y: 15, z: 14, energy: 1026
 Grain id: 96493, x: 15, y: 15, z: 14, energy: 1026

x:16, y:15, z:14 grains: []

x:17, y:15, z:14 grains: []

x:18, y:15, z:14 grains: []

x:19, y:15, z:14 grains: []

x:20, y:15, z:14 grains: []

x:21, y:15, z:14 grains: []

x:22, y:15, z:14 grains: []

x:23, y:15, z:14 grains: []

x:24, y:15, z:14 grains: []

x:25, y:15, z:14 grains: []

x:26, y:15, z:14 grains: []

x:27, y:15, z:14 grains: []

x:28, y:15, z:14 grains: []

x:29, y:15, z:14 grains: []

x:30, y:15, z:14 grains: []

x:0, y:16, z:14 grains: []

x:1, y:16, z:14 grains: []

x:2, y:16, z:14 grains: []

x:3, y:16, z:14 grains: []

x:4, y:16, z:14 grains: []

x:5, y:16, z:14 grains: []

x:6, y:16, z:14 grains: []

x:7, y:16, z:14 grains: []

x:8, y:16, z:14 grains: []

x:9, y:16, z:14 grains: []

x:10, y:16, z:14 grains: []

x:11, y:16, z:14 grains: []

x:12, y:16, z:14 grains: []

x:13, y:16, z:14 grains: []

x:14, y:16, z:14 grains: [19178, 19310, 19454, 19506, 19534, 19769, 19909, 19920]
 Grain id: 19178, x: 14, y: 16, z: 14, energy: 6526
 Grain id: 19310, x: 14, y: 16, z: 14, energy: 6509
 Grain id: 19454, x: 14, y: 16, z: 14, energy: 6506
 Grain id: 19506, x: 14, y: 16, z: 14, energy: 6504
 Grain id: 19534, x: 14, y: 16, z: 14, energy: 6504
 Grain id: 19769, x: 14, y: 16, z: 14, energy: 6490
 Grain id: 19909, x: 14, y: 16, z: 14, energy: 6477
 Grain id: 19920, x: 14, y: 16, z: 14, energy: 6477

x:15, y:16, z:14 grains: [96149, 96158, 96179, 96180]
 Grain id: 96149, x: 15, y: 16, z: 14, energy: 401
 Grain id: 96158, x: 15, y: 16, z: 14, energy: 401
 Grain id: 96179, x: 15, y: 16, z: 14, energy: 396
 Grain id: 96180, x: 15, y: 16, z: 14, energy: 396

x:16, y:16, z:14 grains: [64606, 95516, 95519, 95647, 95692]
 Grain id: 64606, x: 16, y: 16, z: 14, energy: 2997
 Grain id: 95516, x: 16, y: 16, z: 14, energy: 301
 Grain id: 95519, x: 16, y: 16, z: 14, energy: 301
 Grain id: 95647, x: 16, y: 16, z: 14, energy: 299
 Grain id: 95692, x: 16, y: 16, z: 14, energy: 298

x:17, y:16, z:14 grains: []

x:18, y:16, z:14 grains: []

x:19, y:16, z:14 grains: []

x:20, y:16, z:14 grains: []

x:21, y:16, z:14 grains: []

x:22, y:16, z:14 grains: []

x:23, y:16, z:14 grains: []

x:24, y:16, z:14 grains: []

x:25, y:16, z:14 grains: []

x:26, y:16, z:14 grains: []

x:27, y:16, z:14 grains: []

x:28, y:16, z:14 grains: []

x:29, y:16, z:14 grains: []

x:30, y:16, z:14 grains: []

x:0, y:17, z:14 grains: []

x:1, y:17, z:14 grains: []

x:2, y:17, z:14 grains: []

x:3, y:17, z:14 grains: []

x:4, y:17, z:14 grains: []

x:5, y:17, z:14 grains: []

x:6, y:17, z:14 grains: []

x:7, y:17, z:14 grains: []

x:8, y:17, z:14 grains: []

x:9, y:17, z:14 grains: []

x:10, y:17, z:14 grains: []

x:11, y:17, z:14 grains: []

x:12, y:17, z:14 grains: []

x:13, y:17, z:14 grains: []

x:14, y:17, z:14 grains: []

x:15, y:17, z:14 grains: []

x:16, y:17, z:14 grains: []

x:17, y:17, z:14 grains: []

x:18, y:17, z:14 grains: []

x:19, y:17, z:14 grains: []

x:20, y:17, z:14 grains: []

x:21, y:17, z:14 grains: []

x:22, y:17, z:14 grains: []

x:23, y:17, z:14 grains: []

x:24, y:17, z:14 grains: []

x:25, y:17, z:14 grains: []

x:26, y:17, z:14 grains: []

x:27, y:17, z:14 grains: []

x:28, y:17, z:14 grains: []

x:29, y:17, z:14 grains: []

x:30, y:17, z:14 grains: []

x:0, y:18, z:14 grains: []

x:1, y:18, z:14 grains: []

x:2, y:18, z:14 grains: []

x:3, y:18, z:14 grains: []

x:4, y:18, z:14 grains: []

x:5, y:18, z:14 grains: []

x:6, y:18, z:14 grains: []

x:7, y:18, z:14 grains: []

x:8, y:18, z:14 grains: []

x:9, y:18, z:14 grains: []

x:10, y:18, z:14 grains: []

x:11, y:18, z:14 grains: []

x:12, y:18, z:14 grains: []

x:13, y:18, z:14 grains: []

x:14, y:18, z:14 grains: []

x:15, y:18, z:14 grains: []

x:16, y:18, z:14 grains: []

x:17, y:18, z:14 grains: []

x:18, y:18, z:14 grains: []

x:19, y:18, z:14 grains: []

x:20, y:18, z:14 grains: []

x:21, y:18, z:14 grains: []

x:22, y:18, z:14 grains: []

x:23, y:18, z:14 grains: []

x:24, y:18, z:14 grains: []

x:25, y:18, z:14 grains: []

x:26, y:18, z:14 grains: []

x:27, y:18, z:14 grains: []

x:28, y:18, z:14 grains: []

x:29, y:18, z:14 grains: []

x:30, y:18, z:14 grains: []

x:0, y:19, z:14 grains: []

x:1, y:19, z:14 grains: []

x:2, y:19, z:14 grains: []

x:3, y:19, z:14 grains: []

x:4, y:19, z:14 grains: []

x:5, y:19, z:14 grains: []

x:6, y:19, z:14 grains: []

x:7, y:19, z:14 grains: []

x:8, y:19, z:14 grains: []

x:9, y:19, z:14 grains: []

x:10, y:19, z:14 grains: []

x:11, y:19, z:14 grains: []

x:12, y:19, z:14 grains: []

x:13, y:19, z:14 grains: []

x:14, y:19, z:14 grains: []

x:15, y:19, z:14 grains: []

x:16, y:19, z:14 grains: []

x:17, y:19, z:14 grains: []

x:18, y:19, z:14 grains: []

x:19, y:19, z:14 grains: []

x:20, y:19, z:14 grains: []

x:21, y:19, z:14 grains: []

x:22, y:19, z:14 grains: []

x:23, y:19, z:14 grains: []

x:24, y:19, z:14 grains: []

x:25, y:19, z:14 grains: []

x:26, y:19, z:14 grains: []

x:27, y:19, z:14 grains: []

x:28, y:19, z:14 grains: []

x:29, y:19, z:14 grains: []

x:30, y:19, z:14 grains: []

x:0, y:20, z:14 grains: []

x:1, y:20, z:14 grains: []

x:2, y:20, z:14 grains: []

x:3, y:20, z:14 grains: []

x:4, y:20, z:14 grains: []

x:5, y:20, z:14 grains: []

x:6, y:20, z:14 grains: []

x:7, y:20, z:14 grains: []

x:8, y:20, z:14 grains: []

x:9, y:20, z:14 grains: []

x:10, y:20, z:14 grains: []

x:11, y:20, z:14 grains: []

x:12, y:20, z:14 grains: []

x:13, y:20, z:14 grains: []

x:14, y:20, z:14 grains: []

x:15, y:20, z:14 grains: []

x:16, y:20, z:14 grains: []

x:17, y:20, z:14 grains: []

x:18, y:20, z:14 grains: []

x:19, y:20, z:14 grains: []

x:20, y:20, z:14 grains: []

x:21, y:20, z:14 grains: []

x:22, y:20, z:14 grains: []

x:23, y:20, z:14 grains: []

x:24, y:20, z:14 grains: []

x:25, y:20, z:14 grains: []

x:26, y:20, z:14 grains: []

x:27, y:20, z:14 grains: []

x:28, y:20, z:14 grains: []

x:29, y:20, z:14 grains: []

x:30, y:20, z:14 grains: []

x:0, y:21, z:14 grains: []

x:1, y:21, z:14 grains: []

x:2, y:21, z:14 grains: []

x:3, y:21, z:14 grains: []

x:4, y:21, z:14 grains: []

x:5, y:21, z:14 grains: []

x:6, y:21, z:14 grains: []

x:7, y:21, z:14 grains: []

x:8, y:21, z:14 grains: []

x:9, y:21, z:14 grains: []

x:10, y:21, z:14 grains: []

x:11, y:21, z:14 grains: []

x:12, y:21, z:14 grains: []

x:13, y:21, z:14 grains: []

x:14, y:21, z:14 grains: []

x:15, y:21, z:14 grains: []

x:16, y:21, z:14 grains: []

x:17, y:21, z:14 grains: []

x:18, y:21, z:14 grains: []

x:19, y:21, z:14 grains: []

x:20, y:21, z:14 grains: []

x:21, y:21, z:14 grains: []

x:22, y:21, z:14 grains: []

x:23, y:21, z:14 grains: []

x:24, y:21, z:14 grains: []

x:25, y:21, z:14 grains: []

x:26, y:21, z:14 grains: []

x:27, y:21, z:14 grains: []

x:28, y:21, z:14 grains: []

x:29, y:21, z:14 grains: []

x:30, y:21, z:14 grains: []

x:0, y:22, z:14 grains: []

x:1, y:22, z:14 grains: []

x:2, y:22, z:14 grains: []

x:3, y:22, z:14 grains: []

x:4, y:22, z:14 grains: []

x:5, y:22, z:14 grains: []

x:6, y:22, z:14 grains: []

x:7, y:22, z:14 grains: []

x:8, y:22, z:14 grains: []

x:9, y:22, z:14 grains: []

x:10, y:22, z:14 grains: []

x:11, y:22, z:14 grains: []

x:12, y:22, z:14 grains: []

x:13, y:22, z:14 grains: []

x:14, y:22, z:14 grains: []

x:15, y:22, z:14 grains: []

x:16, y:22, z:14 grains: []

x:17, y:22, z:14 grains: []

x:18, y:22, z:14 grains: []

